,treatment_mean,treatment_sd,neutral_mean,neutral_sd,t_statistic,p_value,cohens_d,n_treatment,n_neutral
MMN,-33.085164071011725,164.10276068067225,1.1776932969880494,38.503884395263114,-1.0141145241765923,0.3159499097838062,-0.29645213810498094,22.0,25.0
P300,-29.681751878525336,165.05998699296217,2.1734184501276386,51.70724239964266,-0.9163995595254589,0.364342543494369,-0.26788750412618895,22.0,25.0
LPP,-9.003161925445086,192.70890189457387,4.982531327570108,102.16435039939633,-0.3161735628233628,0.7533327087631905,-0.09242578276586608,22.0,25.0
