participant_id,condition,n_epochs,MMN_amplitude,P300_amplitude,LPP_amplitude
25_06_25_1_1,Neutral,4,-8.801420212029312,6.6949510022249195,63.0692444508125
25_06_25_2_2,Neutral,4,4.693226677100607,4.3262017569963485,27.75178105376785
25_06_25_3_3,Neutral,4,4.745133459312449,-67.17567989754882,0.8309022337906943
25_06_25_4_4,Treatment,4,41.81771213830458,3.4785159207051377,25.168522570349676
25_06_25_5_5,Treatment,4,39.71793446344957,21.094185040676244,31.222608485195966
25_07_01_1_1,Neutral,4,103.81890999307205,24.09958637232108,31.641045844434
25_07_01_2_2,Neutral,4,-9.501039855401688,-8.664013191607207,11.66857716979602
25_07_01_4_4,Treatment,4,15.937262757712178,-117.62340973853837,-59.180868705698884
25_07_01_5_5,Treatment,4,-117.78053895532629,17.42813034169258,30.446363246353492
25_07_01_6_6,Neutral,4,64.85224172859728,31.077311784992396,46.53494522759948
25_07_01_8_8,Neutral,4,-101.71243922378062,28.965471072148787,75.29858180021172
25_07_02_1_1,Neutral,4,38.63789273933995,67.56680000676602,53.786511470012364
25_07_02_2_2,Neutral,4,-19.43964125303384,5.669844480730905,0.7881212968395815
25_07_02_3_3,Neutral,4,4.100710173475832,17.895529898711853,40.708836669508976
25_07_02_4_4,Treatment,4,1.332451534515937,44.99107147286352,80.17198666787519
25_07_02_5_5,Treatment,4,-19.71427030387741,2.1059923174426607,350.8234380809203
25_07_04_2_2,Treatment,4,64.68873638611645,36.12116707173742,86.51709905248775
25_07_05_1_1,Neutral,4,-57.61351317533698,-119.98530973534824,-284.9745992055779
25_07_05_3_3,Neutral,4,16.0897339605586,16.024336438180043,22.059867990594586
25_07_05_4_4,Treatment,4,-31.056985078420475,13.448077866841778,13.448281895360012
25_07_05_6_6,Neutral,4,7.966673147765564,-0.2864210133823925,14.350738360679987
25_07_05_7_7,Treatment,4,-7.196017956834211,-1.032718082252352,-25.422483574805913
25_07_05_8_8,Treatment,4,23.48528701068991,27.290105696562666,30.441927550377947
25_07_05_9_9,Neutral,4,-13.24151323548542,-4.089035790793903,38.64274161179106
25_07_06_1_1,Neutral,4,-30.043792499748893,40.21176233678419,21.710602811042662
25_07_06_2_2,Neutral,4,9.36025458368103,18.00165035809907,60.84399947234375
25_07_06_3_3,Treatment,4,-747.7340251874142,-752.415114904493,-768.4422894150562
25_07_06_5_5,Neutral,4,-1.761849288556187,29.0071549986476,50.45168621041698
25_07_11_1_1,Neutral,4,21.67037075568727,-22.579456600877176,-1.9484406531278498
25_07_11_2_2,Neutral,4,4.5072534881963415,69.5662710967421,43.9517944206854
25_07_11_3_3,Neutral,4,29.504875733599118,16.01448915104755,25.296733872021186
25_07_12_2_2,Treatment,4,-11.116820245576541,15.24723149325784,8.573939254464461
25_07_12_3_3,Neutral,4,7.968988766601321,30.666286781507917,65.30244398429781
25_07_12_4_4,Treatment,4,-2.147942322687448,9.223941276406858,7.9713300462982195
25_07_12_5_5,Treatment,4,-27.355498073937056,-48.748149722432956,-26.356253309168515
25_07_12_6_6,Treatment,4,-0.9161511782764138,55.153742886981476,64.88690199350457
25_07_12_7_7,Treatment,4,44.234269272992066,7.422721710900758,39.54128026610376
25_07_12_8_8,Neutral,4,-0.10652908588039901,-166.25523385662424,-29.95318178645688
25_07_12_9_9,Neutral,4,0.3573304572340598,0.7866334482446338,-359.2332014114293
25_07_13_1_1,Treatment,4,36.3857319966662,23.210427584827762,82.37920570591628
25_07_13_2_2,Treatment,4,-38.22843218240522,-4.262116234946522,-176.25711684784295
25_07_13_3_3,Treatment,4,-6.627455644749442,-1.206692764972258,-28.142141867829974
25_07_13_4_4,Treatment,4,31.765917760112345,-12.20306580762682,25.027402547325835
25_07_13_5_5,Treatment,4,-2.313402191590407,2.432734458866936,-10.46387914598215
25_07_13_6_6,Neutral,4,-2.4997416174548914,21.03338813822469,40.08935094962456
25_07_13_7_7,Treatment,4,-15.05137356172217,5.844680787941228,19.57518314405922
25_07_13_8_8,Neutral,4,-44.109783792812024,15.762942217002854,65.89419934557343
