Index,Treatment_M,Treatment_SD,Neutral_M,Neutral_SD,t_statistic,p_value,cohens_d,significant
Relative Alpha (RA),-0.13507395591198307,0.6340617958378458,-0.1676193042043875,0.6059154841066391,0.1990395681223376,0.8429527054995275,0.05239510179554962,False
RSMR,0.5360714894210975,0.10370023992045133,0.5325394257256226,0.15461143262976218,0.10333665341121612,0.9180649690807337,0.02720230216418191,False
Engagement Index,0.04798792632487107,0.037832339042821475,0.040640680403420296,0.01768939480882737,0.9241997847983411,0.35934767569150416,0.24328600720320642,False
Alpha Power,1.0043337207846331e-09,2.7581788792184765e-09,9.432243777487345e-10,3.012271380184141e-09,0.08063500714863084,0.9360197147954894,0.02122632925550062,False
Relative Alpha Power,0.019897147563538005,0.014303875839032174,0.015529252943238824,0.012511673716812449,1.2289722315050229,0.2242215514365958,0.3235141925852225,False
Theta Power,3.6329799513613048e-09,1.000444412048715e-08,3.761020872667163e-09,1.1481671195713564e-08,-0.045391944049718004,0.963956384023966,-0.01194895844891032,False
Relative Theta Power,0.0803188507153647,0.04344599170891855,0.0742224302659111,0.04799802769370789,0.5076995645030677,0.6136579265429453,0.13364664430614334,False
Beta Power,2.1405031380403278e-10,5.788889605163681e-10,2.0977293665029324e-10,6.814923954217774e-10,0.02584897363576977,0.9794696937166878,0.00680447419441843,False
Relative Beta Power,0.005361250171874248,0.007172379874536768,0.00374083666406938,0.0032402495093579215,1.080882088946827,0.2843825315472092,0.28453099860298364,False
