subject_id,condition,relative_alpha,rsmr,engagement_index,duration_s,n_markers,delta,theta,alpha,smr,beta,low_beta,high_beta,delta_relative,theta_relative,alpha_relative,smr_relative,beta_relative,low_beta_relative,high_beta_relative,epoch_ra_mean,epoch_ra_std,epoch_rsmr_mean,epoch_rsmr_std,epoch_ei_mean,epoch_ei_std,n_epochs
sub-25_06_25_1_1_ses-S001_task-Default_run-001_eeg,Treatment,-0.0057912699028364045,0.5968410197897908,0.2293442038787517,2023.5433333333333,7,3.515608362566117e-09,6.513879530845278e-10,2.572752995729711e-10,1.5270541778077634e-10,2.083966502746111e-10,2.2912154394153882e-10,1.928529800244153e-10,0.6751245015024863,0.12509014706914645,0.04940620241508438,0.02932498686535271,0.04001972635220935,0.043999658717418434,0.03703477707830253,-0.3596110205828345,0.20653069675049496,0.5453875219293128,0.1130314908246763,0.06851031592557863,0.007575433386023593,7.0
sub-25_06_25_2_2_ses-S001_task-Default_run-001_eeg,Neutral,-0.3561397402532407,0.5779747616504586,0.03685556251191746,1946.54,8,2.0694219613239606e-09,2.4908375472296394e-10,3.926302432824827e-11,2.230419106956227e-11,1.0627182740432005e-11,1.4990546983020894e-11,7.354659558490339e-12,0.8575976354645354,0.1032238195376925,0.016271150811384007,0.009243171223508335,0.004404054349560114,0.006212294006358138,0.0030478746069615946,-1.0929492686734266,0.08539313816076728,0.5290600112655617,0.08804944768389068,0.024911305801941442,0.0029165649297280684,8.0
sub-25_06_25_3_3_ses-S001_task-Default_run-001_eeg,Treatment,-0.2815530943762248,0.5059358457484471,0.036155196713781174,471.38666666666666,7,3.941831597467611e-09,1.7365591436695601e-10,3.673947785061322e-11,1.8564312834113274e-11,7.60688679329936e-12,1.1092414623669853e-11,4.992740920521488e-12,0.9397657049469583,0.04140102608343658,0.0087589995787354,0.0044258878407221645,0.0018135455949841394,0.002644524655765105,0.001190311299398415,-0.36567343274119607,0.1126527859834247,0.46247380011009154,0.218086798099274,0.04386345399000152,0.024459007147741324,5.0
sub-25_06_25_4_4_ses-S001_task-Default_run-001_eeg,Neutral,1.3369198444060935,0.5705373588363799,0.04348897361620641,2177.03,7,3.3225656999172153e-09,1.7426596016414834e-10,4.1392751299947694e-11,2.15315817230841e-11,9.378776012967144e-12,1.314583929331371e-11,6.553478552707219e-12,0.925806437245622,0.048557820155904666,0.011533760072751453,0.005999603548489084,0.0026133211471201768,0.0036629832906086733,0.0018260745395038047,0.046530234555495396,0.7120594429426874,0.49103903336328264,0.0884402030090696,0.03335820339967155,0.015390865170142855,7.0
sub-25_06_25_5_5_ses-S001_task-Default_run-001_eeg,Treatment,-0.5945877685991867,0.49266917780429687,0.013838517575190175,1995.05,8,9.50023153810191e-09,3.0481585930129827e-10,2.3234311219181644e-11,8.30431629451262e-12,4.539728050291795e-12,5.9994389133043095e-12,3.44494490303241e-12,0.9644346881635407,0.030943981421244788,0.002358676797033421,0.0008430290002710643,0.00046085942105419454,0.0006090448400444855,0.0003497203568114764,-1.0172368791848094,0.21665665925585229,0.502419872626707,0.053284323420933644,0.025683968907905662,0.033275515083482254,8.0
sub-25_06_27_2_2_ses-S001_task-Default_run-001_eeg,Neutral,-0.15651399567085988,0.5975047294750815,0.04924378362504199,98.51666666666667,0,3.538872537922456e-10,1.8308841876868595e-11,2.6529158229350425e-12,1.4725238548834262e-12,1.0322362605696881e-12,1.133816702257769e-12,9.56050929303628e-13,0.9326477431587233,0.048251808657499555,0.006991593872162937,0.003880744602377379,0.002720394160881797,0.0029881030672474175,0.0025196124811075827,,,,,,,
sub-25_06_27_2_2_ses-S001_task-Default_run-001_eeg_old1,Neutral,0.1880498307928491,0.6313478899760504,0.06665272049351566,81.50666666666666,0,8.679056702404401e-10,2.6396824511154743e-11,4.986032239929463e-12,2.8501862574050394e-12,2.0917527793180563e-12,2.293711438208367e-12,1.9402837851503232e-12,0.9553545650478308,0.029056529602476042,0.005488417491929322,0.0031373668194772217,0.0023025147031466866,0.0025248224185327886,0.0021357839166071097,,,,,,,
sub-25_07_01_1_1_ses-S001_task-Default_run-001_eeg,Treatment,-0.7704974978289876,0.6346711872396813,0.08320706883115409,1816.55,7,2.274495907789617e-10,2.4178339369070197e-11,6.248971106765092e-12,3.609782798319335e-12,2.5317673171097227e-12,2.8635575687777453e-12,2.282924628358706e-12,0.8450194004266127,0.08982722618665039,0.023216141211058586,0.013411044115135204,0.00940600725196661,0.010638672470539694,0.008481508338036797,-0.9760869521338706,0.09657589653049864,0.46360774896490514,0.054558017223768004,0.03278351058691335,0.016761117661766304,7.0
sub-25_07_01_2_2_ses-S001_task-Default_run-001_eeg,Neutral,-0.7501198043620114,0.45605746919334844,0.04410703320114695,1422.9533333333334,7,1.71285737427688e-09,7.709704799004165e-11,1.2492985754053235e-11,5.654651072836345e-12,3.951550592842669e-12,4.383137525590551e-12,3.627860393281756e-12,0.9410970177208775,0.04235951167220948,0.006864034222658164,0.0031068408501583877,0.002171104573063108,0.0024082318326913675,0.0019932591283419124,-0.6530147879010754,0.1621670197146118,0.5839822109196037,0.21129049761184746,0.06281115762184121,0.02102107378967246,7.0
sub-25_07_01_3_3(2)_ses-S001_task-Default_run-001_eeg,Treatment,0.017295189882329254,0.5523179180171371,0.036479181240975635,514.0133333333333,5,5.726633461146261e-09,2.2327967538028078e-10,5.180937919909755e-11,2.8155937015716044e-11,1.003502347940978e-11,1.5272384989041097e-11,6.107002347186293e-12,0.9447874554250888,0.0368369719804715,0.00854757893494918,0.004645203201614167,0.0016555912583839174,0.0025196579892822887,0.0010075412102101393,0.010196556306017613,0.1464283546950989,0.5907148008022668,0.24604530011995943,0.02797252997739455,0.012857831263862035,5.0
